filename,n_rows,n_cols,file_path
1459541791.dcm,5355,4915,../train_images/10006/1459541791.dcm
1864590858.dcm,5355,4915,../train_images/10006/1864590858.dcm
1874946579.dcm,5355,4915,../train_images/10006/1874946579.dcm
462822612.dcm,5355,4915,../train_images/10006/462822612.dcm
1031443799.dcm,2776,2082,../train_images/10011/1031443799.dcm
220375232.dcm,2776,2082,../train_images/10011/220375232.dcm
270344397.dcm,2776,2082,../train_images/10011/270344397.dcm
541722628.dcm,2776,2082,../train_images/10011/541722628.dcm
1365269360.dcm,5355,4915,../train_images/10025/1365269360.dcm
288394860.dcm,5355,4915,../train_images/10025/288394860.dcm
562340703.dcm,5355,4915,../train_images/10025/562340703.dcm
893612858.dcm,5355,4915,../train_images/10025/893612858.dcm
1350492010.dcm,2294,1914,../train_images/10038/1350492010.dcm
1967300488.dcm,2294,1914,../train_images/10038/1967300488.dcm
2142944869.dcm,2294,1914,../train_images/10038/2142944869.dcm
850559196.dcm,2294,1914,../train_images/10038/850559196.dcm
102733848.dcm,3062,2394,../train_images/10042/102733848.dcm
1648588715.dcm,3062,2394,../train_images/10042/1648588715.dcm
202939811.dcm,3062,2394,../train_images/10042/202939811.dcm
294481519.dcm,3062,2394,../train_images/10042/294481519.dcm
495770405.dcm,3062,2394,../train_images/10042/495770405.dcm
1234933874.dcm,5355,4915,../train_images/10048/1234933874.dcm
1577142909.dcm,5355,4915,../train_images/10048/1577142909.dcm
1842203124.dcm,5355,4915,../train_images/10048/1842203124.dcm
964141995.dcm,5355,4915,../train_images/10048/964141995.dcm
1207499426.dcm,3328,2560,../train_images/10049/1207499426.dcm
1351270472.dcm,3328,2560,../train_images/10049/1351270472.dcm
1464813991.dcm,3328,2560,../train_images/10049/1464813991.dcm
349510516.dcm,3328,2560,../train_images/10049/349510516.dcm
906829939.dcm,3328,2560,../train_images/10049/906829939.dcm
94335194.dcm,3328,2560,../train_images/10049/94335194.dcm
1428987847.dcm,5355,4915,../train_images/10050/1428987847.dcm
1614607569.dcm,5355,4915,../train_images/10050/1614607569.dcm
1749389520.dcm,5355,4915,../train_images/10050/1749389520.dcm
588678397.dcm,5355,4915,../train_images/10050/588678397.dcm
1238319934.dcm,5355,4915,../train_images/10051/1238319934.dcm
2046475482.dcm,5355,4915,../train_images/10051/2046475482.dcm
833024366.dcm,5355,4915,../train_images/10051/833024366.dcm
938549206.dcm,5355,4915,../train_images/10051/938549206.dcm
1479874325.dcm,5355,4915,../train_images/10086/1479874325.dcm
1973073874.dcm,5355,4915,../train_images/10086/1973073874.dcm
2029358943.dcm,5355,4915,../train_images/10086/2029358943.dcm
51088550.dcm,5355,4915,../train_images/10086/51088550.dcm
1276618392.dcm,3328,2560,../train_images/10095/1276618392.dcm
1450760951.dcm,3328,2560,../train_images/10095/1450760951.dcm
1854592291.dcm,3328,2560,../train_images/10095/1854592291.dcm
25264463.dcm,3328,2560,../train_images/10095/25264463.dcm
1007799858.dcm,4096,3328,../train_images/10097/1007799858.dcm
166011602.dcm,4096,3328,../train_images/10097/166011602.dcm
1957744616.dcm,4096,3328,../train_images/10097/1957744616.dcm
268368896.dcm,4096,3328,../train_images/10097/268368896.dcm
664674273.dcm,4096,3328,../train_images/10097/664674273.dcm
929754876.dcm,4096,3328,../train_images/10097/929754876.dcm
1181635673.dcm,4096,3328,../train_images/10102/1181635673.dcm
1241778584.dcm,4096,3328,../train_images/10102/1241778584.dcm
1245250349.dcm,4096,3328,../train_images/10102/1245250349.dcm
1304802631.dcm,4096,3328,../train_images/10102/1304802631.dcm
1480506800.dcm,4096,3328,../train_images/10102/1480506800.dcm
1951607544.dcm,4096,3328,../train_images/10102/1951607544.dcm
453020471.dcm,4096,3328,../train_images/10102/453020471.dcm
618254763.dcm,4096,3328,../train_images/10102/618254763.dcm
190315990.dcm,2776,2082,../train_images/10106/190315990.dcm
2057295788.dcm,2776,2082,../train_images/10106/2057295788.dcm
238675415.dcm,2776,2082,../train_images/10106/238675415.dcm
929085221.dcm,2776,2082,../train_images/10106/929085221.dcm
1470873094.dcm,5355,4915,../train_images/10116/1470873094.dcm
472095321.dcm,5355,4915,../train_images/10116/472095321.dcm
527043166.dcm,5355,4915,../train_images/10116/527043166.dcm
539757861.dcm,5355,4915,../train_images/10116/539757861.dcm
1854075671.dcm,3328,2560,../train_images/10119/1854075671.dcm
394215927.dcm,4096,3328,../train_images/10119/394215927.dcm
494229141.dcm,4096,3328,../train_images/10119/494229141.dcm
50833170.dcm,3328,2560,../train_images/10119/50833170.dcm
1732550501.dcm,5355,4915,../train_images/10122/1732550501.dcm
612913905.dcm,5355,4915,../train_images/10122/612913905.dcm
722196386.dcm,5355,4915,../train_images/10122/722196386.dcm
828772252.dcm,5355,4915,../train_images/10122/828772252.dcm
1891054212.dcm,4096,3328,../train_images/10124/1891054212.dcm
1919498169.dcm,4096,3328,../train_images/10124/1919498169.dcm
2029770528.dcm,4096,3328,../train_images/10124/2029770528.dcm
473162373.dcm,4096,3328,../train_images/10124/473162373.dcm
1035012441.dcm,4096,3328,../train_images/10126/1035012441.dcm
1495487293.dcm,4096,3328,../train_images/10126/1495487293.dcm
1987272730.dcm,4096,3328,../train_images/10126/1987272730.dcm
23590109.dcm,4096,3328,../train_images/10126/23590109.dcm
677689694.dcm,4096,3328,../train_images/10126/677689694.dcm
808365199.dcm,4096,3328,../train_images/10126/808365199.dcm
